word_classification, regularized_count, absolute_difference
FUNCTION,1.82,-0.272598526113
INFORMAL,1.79,-0.664234753818
NETSPEAK,1.56,-0.51796646374
PRONOUN,0.78,-0.122381715262
LEISURE,0.73,-0.11064936452
PPRON,0.67,-0.123442272776
SOCIAL,0.55,-0.115491829542
I,0.49,0.0714375734273
ARTICLE,0.44,-0.016157214568
RELATIV,0.42,-0.116152942433
DRIVES,0.39,-0.0368930898216
VERB,0.33,-0.0662405212005
COGPROC,0.25,-0.0211737690911
PERCEPT,0.25,-0.0290772188401
WORK,0.24,-0.130714514579
FOCUSPRESENT,0.24,-0.0461262415892
AFFILIATION,0.24,0.0176353732778
SPACE,0.2,-0.147644985582
HEAR,0.2,-0.000790344974901
CONJ,0.19,0.0353487130193
BIO,0.19,-0.0595994873438
NONFLU,0.18,-0.135283562961
AUXVERB,0.18,-0.0421510199722
PREP,0.18,-0.153119726583
ADVERB,0.17,0.0536911246395
AFFECT,0.16,-0.208685250454
FILLER,0.15,-0.081763323721
TIME,0.15,0.037749652889
POSEMO,0.14,-0.10158923422
TENTAT,0.14,0.0468674570116
POWER,0.13,-0.0230492363559
FEMALE,0.13,-0.029884652355
MALE,0.12,-0.0947815870982
IPRON,0.11,0.00127416426359
YOU,0.11,-0.116102744847
FRIEND,0.1,-0.0306205276087
FAMILY,0.09,0.0448221723806
HEALTH,0.09,-0.0331442913596
BODY,0.08,0.0210445370074
QUANT,0.08,0.0196560931325
DIFFER,0.08,-0.016229840863
DISCREP,0.08,0.0471045605041
MOTION,0.07,-0.0083936772402
ASSENT,0.07,-0.0321040264872
MONEY,0.07,0.0209772508811
SHEHE,0.06,-0.051609526861
ADJ,0.06,-0.0659211791093
COMPARE,0.06,-0.00974260386628
NEGATE,0.04,-0.015751361743
SEXUAL,0.04,-0.0223731709922
FOCUSPAST,0.04,-0.016178575243
SEE,0.04,-0.00122610274485
SWEAR,0.04,0.00464808287942
DEATH,0.03,0.00308554950336
CERTAIN,0.03,-0.0091968386201
WE,0.02,-0.02005126562
FOCUSFUTURE,0.02,0.00504752750187
INTERROG,0.02,-0.0107593719962
NUMBER,0.02,-0.0127886361209
NEGEMO,0.02,-0.106027982484
CAUSE,0.02,-0.0173811812453
RELIG,0.02,-0.0015742817473
FEEL,0.01,-0.0107198547474
THEY,0.01,-0.000893944248638
HOME,0.01,-0.00687493324789
SAD,0.01,-0.0154192032468
ACHIEVE,0.01,-0.0235362597458
INGEST,0.01,-0.0393431592438
REWARD,0.01,-0.0194777314963
INSIGHT,0.0,-0.0371675744954
ANGER,0.0,-0.0647228452419
RISK,0.0,-0.0151660792481
ANX,0.0,-0.00469934849941
,undefined,undefined
