,0,1,2
0,FUNCTION,1.82,-0.2654998368323722
1,INFORMAL,1.79,-0.6303198085499835
2,NETSPEAK,1.56,-0.4922136408136626
3,PRONOUN,0.78,-0.12014141194387029
4,LEISURE,0.73,-0.10683237245730448
5,PPRON,0.67,-0.11635918633743059
6,SOCIAL,0.55,-0.1012563907320787
7,I,0.49,0.07696834548025672
8,ARTICLE,0.44,-0.011974328293266612
9,RELATIV,0.42,-0.11421081257478521
10,DRIVES,0.39,-0.03303926900902859
11,VERB,0.33,-0.06475688023496134
12,COGPROC,0.25,-0.023142608506472317
13,PERCEPT,0.25,-0.018573914935276825
14,WORK,0.24,-0.1315870771238986
15,FOCUSPRESENT,0.24,-0.047175024475144156
16,AFFILIATION,0.24,0.017874469705210477
17,SPACE,0.2,-0.14711193299249425
18,HEAR,0.2,0.008114870009790082
19,CONJ,0.19,0.038797998477102136
20,BIO,0.19,-0.0547514413140433
21,NONFLU,0.18,-0.13632764059610575
22,AUXVERB,0.18,-0.0428869792233221
23,PREP,0.18,-0.1492722723811596
24,ADVERB,0.17,0.05045251822038509
25,AFFECT,0.16,-0.20451647993038183
26,FILLER,0.15,-0.07169041662134232
27,TIME,0.15,0.03991624061786141
28,POSEMO,0.14,-0.1040987708038725
29,TENTAT,0.14,0.05069291852496466
30,POWER,0.13,-0.020549331012727073
31,FEMALE,0.13,-0.025770695094093327
32,MALE,0.12,-0.0884194495812031
33,IPRON,0.11,-0.0035646687697160895
34,YOU,0.11,-0.1162591101925378
35,FRIEND,0.1,-0.028358533666920482
36,FAMILY,0.09,0.047793973675622756
37,HEALTH,0.09,-0.029438703361253135
38,BODY,0.08,0.021042097247906018
39,QUANT,0.08,0.020715761992820624
40,DIFFER,0.08,-0.013875775046230832
41,DISCREP,0.08,0.04638746872620472
42,MOTION,0.07,-0.008320461220493847
43,ASSENT,0.07,-0.0352975089742195
44,MONEY,0.07,0.023334058522789088
45,SHEHE,0.06,-0.04790819101490265
46,ADJ,0.06,-0.05889481126944414
47,COMPARE,0.06,-0.0072250625475905605
48,NEGATE,0.04,-0.015803328619601868
49,SEXUAL,0.04,-0.019175459588817577
50,FOCUSPAST,0.04,-0.017870118568476014
51,SEE,0.04,-0.001662134232568259
52,SWEAR,0.04,0.003232894593712607
53,DEATH,0.03,0.002696616991188946
54,CERTAIN,0.03,-0.009704122702055916
55,WE,0.02,-0.022097247906015447
56,FOCUSFUTURE,0.02,0.006620254541498966
57,INTERROG,0.02,-0.012089633416730122
58,NUMBER,0.02,-0.01306863918198629
59,NEGEMO,0.02,-0.09987381703470032
60,CAUSE,0.02,-0.018616338518437938
61,RELIG,0.02,-0.002190797345806593
62,FEEL,0.01,-0.01110301316218862
63,THEY,0.01,-0.000660284999456107
64,HOME,0.01,-0.0062079843359077545
65,SAD,0.01,-0.014910257804851517
66,ACHIEVE,0.01,-0.023394974437071683
67,INGEST,0.01,-0.03797128249755248
68,REWARD,0.01,-0.0191526161209616
69,INSIGHT,0.0,-0.03916023061024693
70,ANGER,0.0,-0.06102469270096813
71,RISK,0.0,-0.014902643315566191
72,ANX,0.0,-0.004133579897748286
